Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG
2018,Luke Babbitt\babbilu01,28,13,145.6,1.3,0.35100000000000003,-0.2,-0.2,0.23399999999999999,,15.6,5.2,1.3,2.6,32.5,2.5,1.2,0.4,0.1,0.2
2018,Dwayne Bacon\bacondw01,22,53,715.5,5.8,0.431,-0.1,-0.7,0.375,0.8,121.89999999999999,37.099999999999994,15.899999999999999,0,174.89999999999998,3.3,2.3,0.7,0.3,0
2018,Ron Baker\bakerro01,24,29,385.70000000000005,9.3,0.504,0.5,0.1,0.33899999999999997,0.769,29,46.400000000000006,26.1,5.800000000000001,69.6,2.4,1,1.6,0.9,0.2
2018,Wade Baldwin\baldwwa01,21,7,79.8,16.6,0.748,0.3,0,0.667,0.6,7.700000000000001,4.8999999999999995,2.1,0.7000000000000001,37.800000000000004,5.4,1.1,0.7,0.3,0.1
2018,Lonzo Ball\balllo01,20,52,1778.4,12.5,0.444,2,1.7,0.36,0.451,358.8,374.40000000000003,88.39999999999999,41.6,530.4,10.2,6.9,7.2,1.7,0.8
2018,J.J. Barea\bareajo01,33,69,1600.8,17.8,0.545,3.3,0.8,0.439,0.784,200.1,434.7,34.5,0,800.4,11.6,2.9,6.3,0.5,0
2018,Harrison Barnes\barneha02,25,77,2633.4,15.8,0.539,3.8,-0.1,0.445,0.8270000000000001,469.7,154,46.199999999999996,15.4,1455.3,18.9,6.1,2,0.6,0.2
2018,Will Barton\bartowi01,27,81,2681.1,16.2,0.562,6.2,2,0.452,0.805,405,332.09999999999997,81,48.6,1271.7,15.7,5,4.1,1,0.6
2018,Nicolas Batum\batumni01,29,64,1984,14.4,0.523,3.5,1.7,0.415,0.831,307.2,352,64,25.6,742.4,11.6,4.8,5.5,1,0.4
2018,Jerryd Bayless\bayleje01,29,39,924.3,7.5,0.546,1.1,-0.2,0.41600000000000004,0.795,81.9,54.599999999999994,23.4,7.800000000000001,308.1,7.9,2.1,1.4,0.6,0.2
2018,Aron Baynes\baynear01,31,81,1482.3,12.1,0.502,3,0.1,0.47100000000000003,0.7559999999999999,437.40000000000003,89.10000000000001,24.3,48.6,486,6,5.4,1.1,0.3,0.6
2018,Kent Bazemore\bazemke01,28,65,1787.5,14.5,0.547,2.2,1.1,0.42,0.7959999999999999,247,227.5,97.5,45.5,838.5,12.9,3.8,3.5,1.5,0.7
2018,Bradley Beal\bealbr01,24,82,2976.6,18.4,0.564,6.9,2.7,0.46,0.7929999999999999,360.8,369,98.39999999999999,32.800000000000004,1853.2,22.6,4.4,4.5,1.2,0.4
2018,Malik Beasley\beaslma01,21,62,582.8000000000001,9,0.509,0.3,-0.5,0.41,0.667,68.2,31,12.4,6.2,198.4,3.2,1.1,0.5,0.2,0.1
2018,Michael Beasley\beaslmi01,29,74,1650.2,17.8,0.556,2.4,0.2,0.507,0.78,414.4,125.8,37,44.4,976.8,13.2,5.6,1.7,0.5,0.6
2018,Marco Belinelli\belinma01,31,80,1944,14.1,0.5820000000000001,3.7,0.3,0.442,0.9079999999999999,152,152,64,16,968,12.1,1.9,1.9,0.8,0.2
