Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Marc Iavaroni,28,57,1178,9.6,0.506,0.9,0.1,0.46399999999999997,0.664,275,113,31,32,381,6.684210526315789,4.824561403508772,1.9824561403508771,0.543859649122807,0.5614035087719298,0
1985,Dan Issel*,36,77,1684,16.9,0.528,4.3,0.1,0.45899999999999996,0.8059999999999999,331,137,65,31,984,12.779220779220779,4.298701298701299,1.7792207792207793,0.8441558441558441,0.4025974025974026,0
1985,Ralph Jackson,22,1,12,15.6,0.33299999999999996,0,0,0.33299999999999996,,1,4,2,0,2,2,1,4,2,0,0
1985,Clemon Johnson,28,58,875,11.9,0.526,1.7,0.3,0.498,0.735,221,33,15,44,270,4.655172413793103,3.810344827586207,0.5689655172413793,0.25862068965517243,0.7586206896551724,0
1985,Dennis Johnson*,30,80,2976,14.4,0.522,6.4,1.7,0.462,0.853,317,543,96,39,1254,15.675,3.9625,6.7875,1.2,0.4875,0
1985,Eddie Johnson,29,73,2367,15.8,0.546,4.2,0.4,0.479,0.7979999999999999,192,566,43,7,1193,16.34246575342466,2.6301369863013697,7.7534246575342465,0.589041095890411,0.0958904109589041,0
1985,Eddie Johnson,25,82,3029,16.2,0.542,5.3,1.3,0.491,0.871,407,273,83,22,1876,22.878048780487806,4.963414634146342,3.3292682926829267,1.0121951219512195,0.2682926829268293,0
1985,Frank Johnson,26,46,925,15,0.535,1.9,0.1,0.489,0.75,63,143,43,3,428,9.304347826086957,1.3695652173913044,3.108695652173913,0.9347826086956522,0.06521739130434782,0
1985,George Johnson,36,65,800,8.3,0.589,1.3,0.4,0.532,0.815,185,22,19,78,107,1.646153846153846,2.8461538461538463,0.3384615384615385,0.2923076923076923,1.2,0
1985,George Johnson,28,55,756,9.9,0.45899999999999996,0.7,-0.3,0.40700000000000003,0.875,164,38,31,16,264,4.8,2.981818181818182,0.6909090909090909,0.5636363636363636,0.2909090909090909,0
1985,Magic Johnson*,25,77,2781,23.2,0.637,12.7,5.2,0.561,0.843,476,968,113,25,1406,18.25974025974026,6.181818181818182,12.571428571428571,1.4675324675324675,0.3246753246753247,0
1985,Marques Johnson,28,72,2448,14.3,0.489,2.7,1.1,0.452,0.731,428,248,72,30,1181,16.40277777777778,5.944444444444445,3.4444444444444446,1,0.4166666666666667,0
1985,Mickey Johnson,32,66,1565,17.2,0.513,2.7,0.8,0.426,0.823,396,149,70,35,875,13.257575757575758,6,2.257575757575758,1.0606060606060606,0.5303030303030303,0
